omop_id,biolink_id
75206,UMLS:C0153965
75210,MONDO:0004725
75311,MONDO:0006118
75337,MONDO:0001628
75343,UMLS:C1306306
75344,MONDO:0044339
75345,MONDO:0004431
75346,UMLS:C0559036
75347,UMLS:C0152090
75351,UMLS:C0158497
75354,UMLS:C0152091
75356,UMLS:C0345380
75365,SNOMEDCT:271845002
75373,UMLS:C0159726
75375,UMLS:C0435633
75382,UMLS:C0272791
75385,UMLS:C0435552
75387,UMLS:C0159981
75389,SNOMEDCT:308849005
75406,UMLS:C0273445
75407,UMLS:C0562071
75408,UMLS:C0562065
75413,UMLS:C0274083
75426,UMLS:C0274089
75488,UMLS:C1299314
75512,MONDO:0004663
75555,MONDO:0001507
75576,MONDO:0005052
75580,UMLS:C2937222
75605,UMLS:C0269792
75617,UMLS:C0409952
75620,UMLS:C0409754
75621,SNOMEDCT:75822003
75622,SNOMEDCT:201799006
75623,UMLS:C0158068
75627,UMLS:C0457623
75628,UMLS:C0158077
75634,UMLS:C0158454
75635,HP:0003394
75637,SNOMEDCT:58407003
75639,UMLS:C0158850
75650,MONDO:0003634
75652,UMLS:C0158726
75667,UMLS:C0272894
75668,UMLS:C1264284
75669,UMLS:C0434666
75670,UMLS:C0435019
75686,UMLS:C0273363
75689,UMLS:C0160924
75690,UMLS:C0433580
75708,UMLS:C0161021
75709,UMLS:C0433520
75756,MONDO:0001373
75804,MONDO:0016107
75860,MONDO:0002203
75863,MONDO:0018301
75865,MONDO:0002118
75882,UMLS:C0405180
75896,UMLS:C0869528
75897,UMLS:C0702154
75899,HP:0003834
75900,MONDO:0004764
75908,MONDO:0003956
75909,MONDO:0005381
75910,MONDO:0005382
75911,UMLS:C0158458
75915,HP:0008465
75916,HP:0006101
75920,UMLS:C0152263
75924,UMLS:C0264009
75932,UMLS:C0272577
75936,UMLS:C1268642
75941,UMLS:C0159618
75942,UMLS:C0435751
75943,UMLS:C0159644
75946,UMLS:C0435018
75954,UMLS:C0272885
75970,UMLS:C0160971
75971,SNOMEDCT:80355006
75994,UMLS:C0433523
75996,UMLS:C0273521
76022,UMLS:C0152501
76034,MONDO:0004616
76122,MONDO:0014624
76130,UMLS:C0155499
76150,UMLS:C0400839
76153,MONDO:0001446
76154,UMLS:C0156276
76161,SNOMEDCT:198036002
76174,SNOMEDCT:40096002
76191,UMLS:C1290873
76193,UMLS:C0157822
76194,UMLS:C0263774
76196,MONDO:0001332
76199,UMLS:C0409402
76202,UMLS:C0158347
76207,UMLS:C0158504
76221,MONDO:0001736
76239,SNOMEDCT:14584002
76240,UMLS:C0159643
76241,SNOMEDCT:31062001
76255,UMLS:C0160075
76270,UMLS:C0273913
76273,SNOMEDCT:12417004
76304,UMLS:C0274059
76349,UMLS:C1306549
76388,UMLS:C0406844
76396,UMLS:C0393939
76467,HP:0003187
76472,HP:0032187
76482,UMLS:C0000814
76491,UMLS:C0405304
76492,UMLS:C0263131
76498,UMLS:C1290139
76499,UMLS:C0409871
76500,UMLS:C0263711
76503,UMLS:C0158110
76504,UMLS:C1290166
76507,UMLS:C0409775
76508,MONDO:0023483
76509,HP:0002967
76521,UMLS:C0270057
76533,MONDO:0009369
76542,UMLS:C0159796
76545,UMLS:C0434685
76550,UMLS:C0160096
76563,SNOMEDCT:15271003
76565,UMLS:C0160933
76570,UMLS:C0274065
76573,UMLS:C0274092
76574,UMLS:C0433579
76611,UMLS:C0149776
76685,MONDO:0009688
76725,MONDO:0002519
76737,MONDO:0004920
76744,MONDO:0100459
76745,UMLS:C0405492
76750,UMLS:C0405002
76756,UMLS:C0426143
76761,UMLS:C0403711
76771,UMLS:C0729568
76777,MONDO:0006816
76783,UMLS:C0263820
76784,MONDO:0004431
76786,UMLS:C0158053
76789,UMLS:C0409766
76790,MONDO:0001798
76791,SNOMEDCT:67321002
76797,UMLS:C0158687
76798,MONDO:0020437
76800,MONDO:0017474
76801,MONDO:0008274
76835,UMLS:C0434599
76836,SNOMEDCT:269137006
76848,UMLS:C0273846
76914,UMLS:C1313974
76924,UMLS:C1306147
77025,MONDO:0001674
77029,UMLS:C0268963
77030,MONDO:0002657
77052,UMLS:C0156971
77066,UMLS:C0343140
77067,UMLS:C0434992
77069,UMLS:C0158069
77071,UMLS:C0158085
77072,UMLS:C0158156
77074,HP:0002829
77076,UMLS:C0158364
77079,MONDO:0005965
77081,MONDO:0001127
77112,UMLS:C0159673
77115,UMLS:C0272582
77119,UMLS:C0159930
77124,UMLS:C0435650
77129,UMLS:C0272576
77131,UMLS:C0159899
77139,SNOMEDCT:2630008
77146,UMLS:C0160622
77156,SNOMEDCT:18589000
77162,MONDO:0043895
77178,UMLS:C0160945
77180,SNOMEDCT:211919009
77234,MONDO:0002278
77310,SNOMEDCT:266267005
77317,MONDO:0007005
77338,UMLS:C0156924
77340,UMLS:C0156756
77348,UMLS:C0409626
77355,UMLS:C0263799
77356,UMLS:C0158090
77357,MONDO:0008320
77358,UMLS:C0575800
77360,HP:0025317
77362,UMLS:C2317110
77364,MONDO:0001546
77365,UMLS:C0152256
77372,UMLS:C0158742
77373,UMLS:C0265615
77387,UMLS:C0272536
77395,SNOMEDCT:19494006
77403,SNOMEDCT:28425007
77405,UMLS:C0159642
77407,UMLS:C0434665
77408,UMLS:C0159978
77421,SNOMEDCT:73059000
77437,UMLS:C0433525
77455,UMLS:C0273999
77517,UMLS:C0153963
77600,SNOMEDCT:84475006
77615,SNOMEDCT:199375007
77619,HP:0001558
77621,UMLS:C0156975
77624,SNOMEDCT:200418007
77630,UMLS:C1290859
77631,UMLS:C0473762
77635,UMLS:C1290871
77637,UMLS:C0409400
77638,UMLS:C1328971
77639,UMLS:C0158281
77640,UMLS:C0343171
77641,UMLS:C0158181
77644,MONDO:0006763
77646,UMLS:C0410288
77647,HP:0030771
77650,MONDO:0005380
77653,MONDO:0021929
77661,UMLS:C0265665
77662,MONDO:0018221
77665,UMLS:C0158498
77670,HP:0100749
77673,UMLS:C0278028
77679,SNOMEDCT:206220004
77696,SNOMEDCT:16282000
77698,UMLS:C0160047
77701,UMLS:C0159623
77702,UMLS:C0272580
77707,UMLS:C0160089
77718,UMLS:C0160597
77719,SNOMEDCT:44825004
77734,UMLS:C0160952
77812,MONDO:0001376
77815,UMLS:C0702197
77819,MONDO:0021457
77923,MONDO:0018439
77952,SNOMEDCT:267914007
77953,UMLS:C0409831
77955,UMLS:C0263793
77956,UMLS:C0263810
77960,UMLS:C0427210
77961,MONDO:0007127
77962,UMLS:C0263816
77963,HP:0025273
77965,UMLS:C3887597
77984,MONDO:0016576
77987,UMLS:C0577940
78009,UMLS:C0347619
78011,UMLS:C0272884
78015,UMLS:C0273313
78025,UMLS:C0273856
78073,MONDO:0005993
78093,UMLS:C1317960
78097,UMLS:C0153690
78110,MONDO:0004707
78149,MONDO:0019950
78162,MONDO:0004900
78193,MONDO:0004778
78200,MONDO:0004808
78210,SNOMEDCT:37762002
78217,UMLS:C0269716
78218,UMLS:C0405307
78219,SNOMEDCT:267780000
78227,MONDO:0007704
78228,UMLS:C0158140
78230,SNOMEDCT:239793008
78232,UMLS:C0423670
78233,UMLS:C0158067
78234,UMLS:C0423665
78235,UMLS:C0158293
78236,MONDO:0004323
78237,MONDO:0001905
78238,UMLS:C0158337
78241,MONDO:0017560
78243,UMLS:C0432162
78257,MONDO:0019019
78267,SNOMEDCT:34565006
78272,UMLS:C0160063
78273,UMLS:C0159626
78274,UMLS:C0159758
78276,UMLS:C0435771
78282,UMLS:C0160034
78308,MONDO:0043731
78314,UMLS:C0274125
78357,MONDO:0017376
78472,HP:0002907
78473,MONDO:0001009
78474,MONDO:0001100
78494,UMLS:C0405308
78497,UMLS:C0157693
78505,UMLS:C0263759
78506,UMLS:C0157977
78507,UMLS:C0158091
78508,UMLS:C0423658
78509,UMLS:C0158087
78510,UMLS:C0409406
78512,SNOMEDCT:267931000
78513,UMLS:C0158167
78514,UMLS:C0158094
78516,UMLS:C0423668
78517,UMLS:C0162296
78518,UMLS:C0575539
78524,HP:0004097
78529,SNOMEDCT:203638000
78560,UMLS:C0456310
78574,UMLS:C0159636
78577,UMLS:C0159975
78579,UMLS:C0159533
78581,UMLS:C0434473
78584,SNOMEDCT:46307004
78586,UMLS:C0160097
78593,SNOMEDCT:9798005
78602,UMLS:C0160609
78605,UMLS:C0432763
78606,SNOMEDCT:85218007
78607,SNOMEDCT:87969000
78609,UMLS:C0160969
78619,UMLS:C0160953
78621,UMLS:C0160991
78633,UMLS:C0085592
78672,UMLS:C0152737
78706,MONDO:0004180
78771,DOID:566
78786,MONDO:0000986
78799,UMLS:C0267389
78804,MONDO:0005219
78818,UMLS:C0405015
78829,UMLS:C0409541
78830,MONDO:0017376
78831,UMLS:C1290881
78832,UMLS:C0158267
78833,UMLS:C0343173
78834,UMLS:C0158153
78838,UMLS:C0866713
78842,UMLS:C0024005
78854,MONDO:0001414
78863,MONDO:0008482
78880,SNOMEDCT:38170003
78888,UMLS:C0272770
78890,UMLS:C0434416
78904,SNOMEDCT:91595001
78907,UMLS:C0273912
78909,UMLS:C0160937
78937,UMLS:C1536686
78987,UMLS:C0347007
79061,UMLS:C0729262
79069,MONDO:0001593
79072,UMLS:C3495439
79091,UMLS:C0426066
79102,UMLS:C0263724
79104,UMLS:C0022411
79106,UMLS:C0423663
79108,UMLS:C0263731
79109,UMLS:C0157997
79112,UMLS:C0409780
79113,UMLS:C0434691
79116,UMLS:C0263911
79118,UMLS:C0410723
79119,UMLS:C0158246
79121,MONDO:0005380
79124,SNOMEDCT:31668003
79126,MONDO:0021651
79127,UMLS:C0038017
79144,MONDO:0007303
79145,MONDO:0020066
79146,UMLS:C0158951
79161,SNOMEDCT:56299003
79165,UMLS:C0026509
79167,UMLS:C0272704
79172,UMLS:C0435603
79173,UMLS:C0159915
79174,UMLS:C0159889
79186,UMLS:C0160324
79189,UMLS:C0273314
79198,SNOMEDCT:16460005
79212,UMLS:C0273532
79232,UMLS:C0274161
79732,UMLS:C0589616
79740,UMLS:C1263700
79742,UMLS:C0017418
79749,UMLS:C1306145
79758,UMLS:C1278532
79765,UMLS:C0686168
79768,MONDO:0021066
79804,MONDO:0008056
79833,MONDO:0007972
79864,HP:0000790
79873,SNOMEDCT:371438008
79884,MONDO:0009256
79889,UMLS:C0156927
79890,UMLS:C0404992
79896,UMLS:C0405004
79897,UMLS:C0405305
79898,MONDO:0001628
79903,MONDO:0003366
79904,UMLS:C0473759
79905,UMLS:C0409811
79908,HP:0001324
79909,UMLS:C0409814
79914,HP:0001829
79915,UMLS:C0158162
79916,HP:0025004
79917,UMLS:C0158457
79930,HP:0002937
79936,HP:0000103
79938,UMLS:C0159668
79939,UMLS:C0272905
79948,UMLS:C0159990
79956,UMLS:C0160613
79957,UMLS:C0273381
79962,UMLS:C0160978
79964,UMLS:C0273331
80004,UMLS:C0018571
80045,UMLS:C1304837
80070,MONDO:0003652
80141,MONDO:0001272
80156,UMLS:C0156750
80165,UMLS:C0269718
80177,UMLS:C0409544
80180,MONDO:0005178
80182,MONDO:0016367
80183,UMLS:C0473756
80184,UMLS:C0409568
80186,UMLS:C0263813
80187,UMLS:C0158309
80188,UMLS:C0158127
80189,UMLS:C0158255
80197,UMLS:C0410318
80201,UMLS:C0265589
80204,MONDO:0005030
80205,UMLS:C0270075
80210,UMLS:C0265566
80217,UMLS:C0426746
80223,UMLS:C0435706
80227,UMLS:C0159629
